Tweet,,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"Russia may have run out of Iranian drones as their launches have virtually ceased - British intelligence

StandWithUkraine RussiaUkraineWar ",,,
"very unfortunate situation💥

РазомПереможемо ЗСУ
RussiaIsLosing Russia
Ukraine RussiaUkraineWar ",,,
"Russia may have run out of Iranian drones as their launches have virtually ceased - British intelligence

StandWithUkraine RussiaUkraineWar ",,,
"What is the outcome of the RussiaUkraineWar??

🌟There will be an unprecedented opportunity for the New Federal State of China!!

🔥The West will turn to the dismantling of the Chinese Communist Party with NO choice!!! ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"⏰ February 25h 2023 update from Denys Davydov, a Ukrainian pilot working with the ArmedForcesOfUkraine 

ArmUkraineNow
StandWithUkraine
Russia RussiaUkraineWar Ukraine StopPutin RussiaIsATerroristState SlavaUkraini  

✊💛💙🇺🇦

Video in English ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
It’s been a year since Russia attacked Ukraine. We are not naive. We know that the prospects of a mutually acceptable peace deal in the RussiaUkraineWar are dim. But the first step is surely a ceasefire. This is the only way to save lives. ,,,
"Another chance to take Kyiv in three days.
By George Klyutchnik. RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"Gotta say, Trump nailed what needs to be done about all the warmongers in DC pushing for WW3 in Ukraine 
PresidentTrump TRUMP2024 RussiaUkraineWar Warmongers TRUMP2024ToSaveAmerica ",,,
"Hundreds of videos online showing nazi 'recruiters' kidnapping male citizens (mainly in minority areas), bundling them off to the front where their survival time is measured in hours.  All ignored by West media.  UkraineRussianWar RussiaUkraineWar NaziUkraine Zelenski ",,,
"In the February 24 print edition of the On February 24, 2022, Russia invaded Ukraine, and journalists went to work. One year later, they haven't stopped.

RussiaUkraineWar PressFreedom 

 ",,,
"Hundreds of videos online showing nazi 'recruiters' kidnapping male citizens (mainly in minority areas), bundling them off to the front where their survival time is measured in hours.  All ignored by West media.  UkraineRussianWar RussiaUkraineWar NaziUkraine Zelenski ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"RussiaUkraineWar | The War in UkraineWhere is Russia headed one year after?

Featuring Dmitry Trenin and .

Watch it here!

",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"US intelligence reportedly continues to assess that China is seriously considering sending lethal aid to Russia amid continued pressure from Western sanctions regimes on Russia's defense industrial base, - ISW

StandWithUkraine RussiaUkraineWar ",,,
"How it all began…
24.02.2022

RussiaUkraineConflict UkrainianArmy потерьнет RussianArmy RussiaUkraineWar SlavaUkraine UkraineConflict UkraineCrisis UkraineKrieg UkraineRussiaConflict UkraineRussiaCrisis UkraineUncensored WARINUKRAINE Ukraine ukr ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
🇺🇦 is fighting valiantly and they have our full sympathy. But the only thing that can save lives in the RussiaUkraineWar is a ceasefire. Everything else can be settled later. Read my state of the nation address in full for more details here ,,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"NOW - Biden on NATO""Russia knows it as well. An attack against one is an attack against all.""

Russia RussiaUkraineWar Ukraine ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
The war in Ukraine triggered a reckoning in universitiesProfessors have been debating how to teach imperialism and colonialism in Russia and the wider region since the invasion  RussiaUkraineWar imperialism colonialism ruscism education ,,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"The night hunts of the Ukrainian knights continue.
Snipers of the 28th separate mechanized brigade named after The Knights of the Winter Campaign are eliminated by groups of enemy infantry in the direction of Bakhmut.

StandWithUkraine RussiaUkraineWar

watch here ",,,
"The night hunts of the Ukrainian knights continue.
Snipers of the 28th separate mechanized brigade named after The Knights of the Winter Campaign are eliminated by groups of enemy infantry in the direction of Bakhmut.

StandWithUkraine RussiaUkraineWar

watch here ",,,
"🇺🇦🇷🇺Foodstuffs, clothes and medical equipment sent from the West to Ukraine, (about 500 tonnes), are rotting in warehouses in Kyiv. The police are investigating.
- by NovostiKieva
Russia UkraineWar Ukraine UkraineWarNews RussiaUkraineWar UkraineRussiaWar
UkraineRussianWar ",,,
"Do we still need this imperialistic Russia? The new cordon sanitaire and why Putin cannot win this war.

Putin Russia UkraineWar RussiaUkraineWar VladimirPutin 

",,,
"The US believes that Iran supplied the Russians with ammunition, and the Russian Federation may transfer fighter jets in return, - White House spokesman John Kirby

StandWithUkraine RussiaUkraineWar ",,,
War is BIG BUSINESS folks RussiaUkraineWar ,,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"World War 3 will divide the world into three groups ! 

With the Russia-Ukraine war still raging after a year, many defense experts believe that the world is speeding towards WorldWar3

Video  

RussiaUkraineWar UkraineRussianWar ",,,
"US intelligence reportedly continues to assess that China is seriously considering sending lethal aid to Russia amid continued pressure from Western sanctions regimes on Russia's defense industrial base, - ISW

StandWithUkraine RussiaUkraineWar ",,,
"Technical actions from the 155th Marine Brigade of the Pacific Fleet under the command of the brilliant Mr. Muradov.

РазомПереможемо ЗСУ
RussiaIsLosing Russia
Ukraine RussiaUkraineWar ",,,
"⛳️ In Ukraine, Russian agents, in particular propagandists, began to be destroyed as early as 2020. 

 ""We were preparing the country for war,"" said , Secretary of the NSDC

StandWithUkraine RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"Russia has accused the West of destabilising the G20 Finance Ministers' meeting in India by trying to force through a joint statement on RussiaUkraineWar.

 talks to  for the latest on ground

Watch more ",,,
"Russia has accused the West of destabilising the G20 Finance Ministers' meeting in India by trying to force through a joint statement on RussiaUkraineWar.

 talks to  for the latest on ground

Watch more ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"The newsmediaoutlets are delusional! Z
PeacefulAgreement RussiaUkraineWar CostOfLivingCrisis EnergyCrisis 

Check out IMMPJ's video! 

TikTok ",,,
"Hundreds of videos online showing nazi 'recruiters' kidnapping male citizens (mainly in minority areas), bundling them off to the front where their survival time is measured in hours.  All ignored by West media.  UkraineRussianWar RussiaUkraineWar NaziUkraine Zelenski ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar army USA UkraineWarNews ",,,
"Hundreds of videos online showing nazi 'recruiters' kidnapping male citizens (mainly in minority areas), bundling them off to the front where their survival time is measured in hours.  All ignored by West media.  UkraineRussianWar RussiaUkraineWar NaziUkraine Zelenski ",,,
"Hundreds of videos online showing nazi 'recruiters' kidnapping male citizens (mainly in minority areas), bundling them off to the front where their survival time is measured in hours.  All ignored by West media.  UkraineRussianWar RussiaUkraineWar NaziUkraine Zelenski ",,,
"Russia 🇷🇺 / Ukraine 🇺🇦

🔴 ""The strategic goal of the counter-offensive of the Armed Forces of Ukraine will be to drive a wedge into the Russian front in the south - between Crimea and the Russian mainland""
- GUR

UkraineRussianWar
UkraineWar 
RussiaUkraineWar",,,
It’s been a year since Russia attacked Ukraine. We are not naive. We know that the prospects of a mutually acceptable peace deal in the RussiaUkraineWar are dim. But the first step is surely a ceasefire. This is the only way to save lives. ,,,
"What is the outcome of the RussiaUkraineWar??

🌟There will be an unprecedented opportunity for the New Federal State of China!!

🔥The West will turn to the dismantling of the Chinese Communist Party with NO choice!!! ",,,
"🇷🇺 cannot win because the entire western world has lined up behind 🇺🇦. At the same time, 🇷🇺 is a nuclear power, and a nuclear power cannot be cornered because they may trigger a nuclear war. We need a ceasefire and peace talks. The sooner the better. RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
My position on RussiaUkraineWar ,,,
Why soldiers don’t have an ‘equal right to kill’  RussiaUkraineWar IHL Accountability specialcriminaltribunal    aggression  ,,,
"Russia has accused the West of destabilising the G20 Finance Ministers' meeting in India by trying to force through a joint statement on RussiaUkraineWar.

 talks to  for the latest on ground

Watch more ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"🇷🇺 cannot win because the entire western world has lined up behind 🇺🇦. At the same time, 🇷🇺 is a nuclear power, and a nuclear power cannot be cornered because they may trigger a nuclear war. We need a ceasefire and peace talks. The sooner the better. RussiaUkraineWar ",,,
"🇷🇺 cannot win because the entire western world has lined up behind 🇺🇦. At the same time, 🇷🇺 is a nuclear power, and a nuclear power cannot be cornered because they may trigger a nuclear war. We need a ceasefire and peace talks. The sooner the better. RussiaUkraineWar ",,,
"There is some logic in what the imperialist stooge Trump (Another face is Biden) says, but in reverse order; US has total dominance over Ukraine, which, in fact, has lost sovereignty since 2014! RussiaUkraineWar  ",,,
"The terrorist russian army shelled the town of Kostiantynivka with incendiary shells.
RussiaUkraineWar ",,,
🇺🇦 is fighting valiantly and they have our full sympathy. But the only thing that can save lives in the RussiaUkraineWar is a ceasefire. Everything else can be settled later. Read my state of the nation address in full for more details here ,,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar army USA UkraineWarNews ",,,
"These are the people who want World War III 👇👇

Hand him a gun and send him to the frontline once, let's see how much war he actually likes.

RussiaUkraineWar Ukraine Russia ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
🇺🇦 is fighting valiantly and they have our full sympathy. But the only thing that can save lives in the RussiaUkraineWar is a ceasefire. Everything else can be settled later. Read my state of the nation address in full for more details here ,,,
🇺🇦 is fighting valiantly and they have our full sympathy. But the only thing that can save lives in the RussiaUkraineWar is a ceasefire. Everything else can be settled later. Read my state of the nation address in full for more details here ,,,
"US intelligence reportedly continues to assess that China is seriously considering sending lethal aid to Russia amid continued pressure from Western sanctions regimes on Russia's defense industrial base, - ISW

StandWithUkraine RussiaUkraineWar ",,,
"US intelligence reportedly continues to assess that China is seriously considering sending lethal aid to Russia amid continued pressure from Western sanctions regimes on Russia's defense industrial base, - ISW

StandWithUkraine RussiaUkraineWar ",,,
Why soldiers don’t have an ‘equal right to kill’  RussiaUkraineWar IHL Accountability specialcriminaltribunal    aggression  ,,,
"US intelligence reportedly continues to assess that China is seriously considering sending lethal aid to Russia amid continued pressure from Western sanctions regimes on Russia's defense industrial base, - ISW

StandWithUkraine RussiaUkraineWar ",,,
"US intelligence reportedly continues to assess that China is seriously considering sending lethal aid to Russia amid continued pressure from Western sanctions regimes on Russia's defense industrial base, - ISW

StandWithUkraine RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar army USA UkraineWarNews ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"🔥 The 40th Separate Artillery Brigade and Lviv territorial defense attack the occupiers. 

RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar StandWithUkraine UkraineWillWin UkraineMustWin SlavaUkraini ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
🇺🇦 is fighting valiantly and they have our full sympathy. But the only thing that can save lives in the RussiaUkraineWar is a ceasefire. Everything else can be settled later. Read my state of the nation address in full for more details here ,,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"One year of war against UkraineActing together to ensure international law will prevail 
RussiaInvadedUkraine RussiaUkraineWar 
",,,
"RussiaUkraineWar | Russia steps up shelling in Kherson intensifies; Zelensky wants Xi Jinping meeting following China's peace plan

 with groundreport from Kherson 

Join the broadcast with  ",,,
"_Linda Yes, just as Google year ago have started to pessimize RussiaUkraineWar information in search engines, also suspending any monetization of such issue",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
War makes the StateWhat the war in Ukraine has revealed about effective governance  RussiaUkraineWar putinism ,,,
"🔥Artillery of the 1st mechanized battalion of the 3rd separate assault brigade works on enemy positions.
Photo from the Bakhmut direction.

StandWithUkraine RussiaUkraineWar

watch here ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"The so called Terminator is shooting

RussiaUkraineConflict UkrainianArmy потерьнет RussianArmy RussiaUkraineWar SlavaUkraine UkraineConflict UkraineCrisis UkraineKrieg UkraineRussiaConflict UkraineRussiaCrisis UkraineUncensored WARINUKRAINE Ukraine ukr Terminator ",,,
"I mention the latter 5 because all of them could end up being forced to get involved (on the Russian Side) in the RussiaUkraineWar. Which does beg the question, can Ukraine end up defeating Russia with simply Western Financial Aid &amp; Weapons?

RussianUkrainianWar",,,
"Anonymous sudan is now targeting Denmark. Same as with Sweden they are conducting ddos attacks on airport websites to start

cybersecurity infosec RussiaUkraineWar UkraineRussianWar ",,,
"Why is Ukraine desperate in keeping their casualty numbers secret during the RussiaUkraineWar? 

RussianUkrainianWar",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"Magical Weapons for UkraineLessons From World War I
by William Astore
Ukraine Russia NATO Germany MilitaryIndustrialComplex WWI WW1 UkraineRussiaWar RussiaUkraineWar 
 ",,,
"Finance ministers of the world's largest economies failed to agree on a closing statement following a summit in India, after China refused to condemn RussiaUkraineWar. They say they have a ""different assessment of the situation.""
",,,
Truth is  wld hav succesfully avoided RussiaUkraineWar. He wldnt hav walked to Zelensky but to Putin to console him. UnitedStates needed decisive leader like India &amp,, not jokers lik . One clown from Ukraine has alrdy dstryd all for NATO membership...,
"💥 In time, the AFU saw and defeated a convoy of equipment and manpower of the enemy.

The 53rd Separate Mechanized Brigade named after Volodymyr Monomakh.

RussiaUkraineWar Donbas RussiaInvadedUkraine Bakhmut RussiaIsLosing RussianArmy RussiansDYINGforNOTHING ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
India chaired the G20 summit and its clear that the RussiaUkraineWar is viewed differently outside the Nato propaganda that refuses a peace talk suggestion by China to end the conflict. Nato wants to escalate and are not interested in peace talks.  ,,,
"World War 3 will divide the world into three groups ! 

With the Russia-Ukraine war still raging after a year, many defense experts believe that the world is speeding towards WorldWar3

Video  

RussiaUkraineWar UkraineRussianWar ",,,
"On behalf of all Zimbabwe,, may Russia liberate the world and save the African continent from harsh economic, social and political abuse from the US and NATO. RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"The terrorist russian army shelled the town of Kostiantynivka with incendiary shells.
RussiaUkraineWar ",,,
"Welcome UkraineFrontLines reserve account. If smth would happen to our main account  the truth about RussiaUkraineWar moves here. While we fix the issue. We think positive. It’s just to be safe &amp; hold info front for you 24/7.
Just keep it in mind.  UkraineHolds",,,
"Let it be.  Can wait the day when all who refused today chilling at G20 will refused to call the Hague the Hague, while ""chilling"" at the court.
RussiaUkraineWar 
UkraineHolds",,,
"UKRAINEA Russian T-72B3 tank and BMP-2 IFV were destroyed by the Ukrainian 72nd Brigade using an AT mine and ATGM respectively in Mykilske near Vuhledar, Donetsk Oblast.

RussiaInvadedUkraine RussianArmy Putin RussiaUkraineWar UkraineRussiaWar️ News UkraineWar ",,,
It’s been a year since Russia attacked Ukraine. We are not naive. We know that the prospects of a mutually acceptable peace deal in the RussiaUkraineWar are dim. But the first step is surely a ceasefire. This is the only way to save lives. ,,,
"According to , the Chinese military company PolyGroup has supplied Russia with helicopters, missile systems and other weapons parts

RussiaInvadedUkraine RussiaUkraineWar ChinaGlobalThreat ChinaRussia UkraineRussianWar UkraineWar UkraineWillWin Ukraina ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"For years, Putin didn’t invade Ukraine. What made him finally snap in 2022?


Europe, invasion, NATO, Russia, russiaukrainewar, ukrainerussiawar, UN, Macron, Putin, Ukraine",,,
"China Says Sending Weapons Into Ukraine War Won’t Bring Peace
The comments come as the US is claiming China is considering arming Russia
by Dave DeCamp
 Ukraine NATO MilitaryIndustrialComplex UkraineRussiaWar RussiaUkraineWar
 ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"🔥Artillery of the 1st mechanized battalion of the 3rd separate assault brigade works on enemy positions.
Photo from the Bakhmut direction.

StandWithUkraine RussiaUkraineWar

watch here ",,,
"2 in 1 video shows the Donbas/Donetsk s Maryinka/Marinka became a ghost 👻city &amp; it looks much more worst than Maiupol/Artemovsk/Bakhmut in this RussiaUkraineWar bro kills bro by satanic ritual of usa/uk

It’s only few ppl who’s fighting for🇺🇸🇬🇧most of them s against it ",,,
"🇷🇺🇺🇦 Artillery of the 5th brigade of the 1st AK supports the advance of  infantry in Marinka
RussiaInvadedUkraine 
RussiaUkraineWar ",,,
It’s been a year since Russia attacked Ukraine. We are not naive. We know that the prospects of a mutually acceptable peace deal in the RussiaUkraineWar are dim. But the first step is surely a ceasefire. This is the only way to save lives. ,,,
"💥 In time, the AFU saw and defeated a convoy of equipment and manpower of the enemy.

The 53rd Separate Mechanized Brigade named after Volodymyr Monomakh.

RussiaUkraineWar Donbas RussiaInvadedUkraine Bakhmut RussiaIsLosing RussianArmy RussiansDYINGforNOTHING ",,,
"Russia 🇷🇺 / Ukraine 🇺🇦

🔴 ""The strategic goal of the counter-offensive of the Armed Forces of Ukraine will be to drive a wedge into the Russian front in the south - between Crimea and the Russian mainland""
- GUR

UkraineRussianWar
UkraineWar 
RussiaUkraineWar",,,
"💔 Fresh footage of the ruins of Bakhmut.

* Video from the telegram channel of the enemy.
RussiaIsATerroristState RussianWarCrimes BakhmutHolds RussiaInvadedUkraine Donbas RussiaUkraineWar Bakhmut ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"What a miserable life, to die in a foreign country and be eaten by a cat.

I will not mark the “sensitive content”video, sorry, I think we are all used to watching ☠️ invaders.

RussiansDYINGforNOTHING RussiaIsLosing russianlosses Donbas Bakhmut Vuhledar RussiaUkraineWar ",,,
"ICYMI | One year of RussiaUkraineWar; second year begins with no end in sight | WorldToday with _Mohan | ITLivestream
 ",,,
"Global economy changed by Ukraine war
Russia WorldMarket Ukraine GlobalEconomy economy invasion RussiaUkraineWar ",,,
"Obviously this BBC news headline is propaganda. China has called for peaceful talks to resolve RussiaUkraineWar but the Nato led countries want to ESCALATE and that's what ""condemn Russia means"" ",,,
"Russia 🇷🇺 / Ukraine 🇺🇦

Video showing the destruction in the outskirts of Bakhmut

UkraineRussianWar 
UkraineWar 
RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"Andrew Peters. 28 years old. US citizen. He fought in Iraq and Afghanistan. He spoke many languages, including Ukrainian.
KIA at the UkraineFrontLines.
Glory to the Hero! 
RussiaUkraineWar ",,,
"One year ago, on Feb 25, 2022, a Su27 fighter jet of the 831st Tactical Aviation Brigade of the Ukrainian AirForce was mistakenly shot down over Kiev by Ukrainian airdefense 

S400 Russia Ukraine RussiaUkraineWar UkraineRussiaWar NATO NATORUSSIAWAR ProxyWar Russia…  ",,,
"The terrorist russian army shelled the town of Kostiantynivka with incendiary shells.
RussiaUkraineWar ",,,
